ProfileID;ActionTime;SiteTarget;Delivery-24;Open-24;Click-24;Delivery-3Day;Open-3Day;Click-3Day;Delivery-3DMY;Open-3DMY;Click-3DMY;ActionDay;PeriodDay;AllDay
6728657524697537800;1593290782;True;0;0;0;0;0;0;479;232;0;232;9;80
7847078387601321400;1593290836;False;0;0;0;0;0;0;428;97;19;116;0;0
6728657524697537800;1593284892;True;0;0;0;0;0;0;479;232;0;232;9;80
6712545061984490778;1593261023;True;0;0;0;0;0;0;59;46;0;46;9;80
7847078387601321400;1593261210;True;0;0;0;0;0;0;335;103;22;125;9;80
7847078387601321400;1593270280;True;0;0;0;0;0;0;335;103;22;125;9;80
6712545061984490778;1593265235;True;0;0;0;0;0;0;59;46;0;46;9;80
6728657524697537800;1593309597;True;0;0;0;0;0;0;479;232;0;232;9;80
6728657524697537800;1593309659;True;0;0;0;0;0;0;479;232;0;232;9;80
6728657524697537800;1593305509;True;0;0;0;0;0;0;479;232;0;232;9;80
6712545061984490778;1593261324;True;0;0;0;0;0;0;59;46;0;46;9;80
7847078387601321400;1593282252;True;0;0;0;0;0;0;335;103;22;125;9;80
7847078387601321400;1593278764;True;0;0;0;0;0;0;335;103;22;125;9;80
7847078387601321400;1593257702;False;0;0;0;0;0;0;428;97;19;116;0;0
7847078387601321400;1593281351;True;0;0;0;0;0;0;335;103;22;125;9;80
6728657524697537800;1593314164;True;0;0;0;0;0;0;479;232;0;232;9;80
7847078387601321400;1593305688;False;0;0;0;0;0;0;428;97;19;116;0;0
6728657524697537800;1593297149;True;0;0;0;0;0;0;479;232;0;232;9;80
7847078387601321400;1593248560;False;0;0;0;0;0;0;428;97;19;116;0;0
7847078387601321400;1593282758;True;0;0;0;0;0;0;335;103;22;125;9;80
7847078387601321400;1593282758;True;0;0;0;0;0;0;335;103;22;125;9;80
7847078387601321400;1593282758;True;0;0;0;0;0;0;335;103;22;125;9;80
7847078387601321400;1593282759;True;0;0;0;0;0;0;335;103;22;125;9;80
